address,categories,city,keys,menus.amountMax,menus.amountMin,name,postalCode,priceRangeMin,priceRangeMax,province
4203 E Kiehl Ave,"Pizza,Restaurant,American restaurants,Pizza Place,Restaurants",Sherwood,us/ar/sherwood/4203ekiehlave/-1051391616,7.98,7.98,Shotgun Dans Pizza,72120,0,25,AR
25 E Camelback Rd,"Pizza,Pizza Place,Restaurants",Phoenix,us/az/phoenix/25ecamelbackrd/-727422936,6,6,Sauce Pizza Wine,85012,0,25,AZ
3703 Paxton Ave,"Restaurant,Pizza Place,Restaurants",Cincinnati,us/oh/cincinnati/3703paxtonave/-619797122,6.49,6.49,Mios Pizzeria,45209,0,25,OH
30495 John R Rd,"Pizza,Carry-out food,Pizza Place,Restaurants",Madison Heights,us/mi/madisonheights/30495johnrrd/-874863116,5.99,5.99,Hungry Howies Pizza,48071,25,40,MI
3600 Eastern Ave,"Pizza,American restaurants,Pizza Place,Pizza equipment and supplies,Restaurants",Baltimore,us/md/baltimore/3600easternave/-1270965359,5.49,5.49,Spartan Pizzeria,21224,0,25,MD
3600 Eastern Ave,"Pizza,American restaurants,Pizza Place,Pizza equipment and supplies,Restaurants",Baltimore,us/md/baltimore/3600easternave/-1270965359,10.99,10.99,Spartan Pizzeria,21224,0,25,MD
1834 Euclid Ave,Pizza Place,Berkeley,us/ca/berkeley/1834euclidave/-1109825433,4.99,4.99,La Vals,94709,0,25,CA
1834 Euclid Ave,Pizza Place,Berkeley,us/ca/berkeley/1834euclidave/-1109825433,5.39,5.39,La Vals,94709,0,25,CA
4819 Kerry Forest Pkwy,Pizza Place,Tallahassee,us/fl/tallahassee/4819kerryforestpkwy/879863405,2.5,2.5,Brickyard Pizza,32309,0,25,FL
4819 Kerry Forest Pkwy,Pizza Place,Tallahassee,us/fl/tallahassee/4819kerryforestpkwy/879863405,11.99,11.99,Brickyard Pizza,32309,0,25,FL
4061 28th St SE,"Restaurant,Italian Restaurant,Pizza Place,Italian Restaurant and Pizza Place",Grand Rapids,us/mi/grandrapids/406128thstse/-255474861,7.43,7.43,Carrabbas Italian Grill,49512,25,40,MI
4061 28th St SE,"Restaurant,Italian Restaurant,Pizza Place,Italian Restaurant and Pizza Place",Grand Rapids,us/mi/grandrapids/406128thstse/-255474861,18.21,18.21,Carrabbas Italian Grill,49512,25,40,MI
4061 28th St SE,"Restaurant,Italian Restaurant,Pizza Place,Italian Restaurant and Pizza Place",Grand Rapids,us/mi/grandrapids/406128thstse/-255474861,15.92,15.92,Carrabbas Italian Grill,49512,25,40,MI
4061 28th St SE,"Restaurant,Italian Restaurant,Pizza Place,Italian Restaurant and Pizza Place",Grand Rapids,us/mi/grandrapids/406128thstse/-255474861,7.43,7.43,Carrabbas Italian Grill,49512,25,40,MI
146 N Glendora Ave,"Pizza,Restaurant,Pizza Place",Glendora,us/ca/glendora/146nglendoraave/-1511428239,22,22,Domenicos Jr,91741,0,25,CA
146 N Glendora Ave,"Pizza,Restaurant,Pizza Place",Glendora,us/ca/glendora/146nglendoraave/-1511428239,11.5,11.5,Domenicos Jr,91741,0,25,CA
146 N Glendora Ave,"Pizza,Restaurant,Pizza Place",Glendora,us/ca/glendora/146nglendoraave/-1511428239,7,7,Domenicos Jr,91741,0,25,CA
965 N Resler Dr,"Restaurant,Pizza Place,Restaurants",El Paso,us/tx/elpaso/965nreslerdr/1770159848,5,5,Little Caesars Pizza,79912,0,25,TX
8111 Rowlock Way,"Pizza,Restaurant,Pizza Place,Restaurants",Raleigh,us/nc/raleigh/8111rowlockway/1763694843,11.99,11.99,Tonys Pizza,27613,0,25,NC
4111 Main St,"Pizza,American restaurants,Pizza Place,Restaurants",Philadelphia,us/pa/philadelphia/4111mainst/-404553877,4.5,4.5,Mikes Pizza,19127,0,25,PA
4024 Canal St,Pizza Place,New Orleans,us/la/neworleans/4024canalst/1763771589,12.25,12.25,Theos Neighborhood Pizza,70119,25,40,LA
4024 Canal St,Pizza Place,New Orleans,us/la/neworleans/4024canalst/1763771589,12.25,12.25,Theos Neighborhood Pizza,70119,25,40,LA
4024 Canal St,Pizza Place,New Orleans,us/la/neworleans/4024canalst/1763771589,13.5,13.5,Theos Neighborhood Pizza,70119,25,40,LA
1584 N Woodland Blvd,"Restaurant,Pizza Place,Restaurants",DeLand,us/fl/deland/1584nwoodlandblvd/-874863116,4.89,4.89,Hungry Howies Pizza,32720,0,25,FL
1584 N Woodland Blvd,"Restaurant,Pizza Place,Restaurants",DeLand,us/fl/deland/1584nwoodlandblvd/-874863116,6.99,6.99,Hungry Howies Pizza,32720,0,25,FL
1584 N Woodland Blvd,"Restaurant,Pizza Place,Restaurants",DeLand,us/fl/deland/1584nwoodlandblvd/-874863116,19.99,19.99,Hungry Howies Pizza,32720,0,25,FL
1584 N Woodland Blvd,"Restaurant,Pizza Place,Restaurants",DeLand,us/fl/deland/1584nwoodlandblvd/-874863116,5,5,Hungry Howies Pizza,32720,0,25,FL
1477 York Ave,"Restaurant,Pizza Place Upper East Side,Pizza Place",New York,us/ny/newyork/1477yorkave/960433863,11.75,11.75,Salvos Pizzabar,10075,25,40,NY
1477 York Ave,"Restaurant,Pizza Place Upper East Side,Pizza Place",New York,us/ny/newyork/1477yorkave/960433863,3.75,3.75,Salvos Pizzabar,10075,25,40,NY
1477 York Ave,"Restaurant,Pizza Place Upper East Side,Pizza Place",New York,us/ny/newyork/1477yorkave/960433863,3.5,3.5,Salvos Pizzabar,10075,25,40,NY
1477 York Ave,"Restaurant,Pizza Place Upper East Side,Pizza Place",New York,us/ny/newyork/1477yorkave/960433863,19.25,19.25,Salvos Pizzabar,10075,25,40,NY
1477 York Ave,"Restaurant,Pizza Place Upper East Side,Pizza Place",New York,us/ny/newyork/1477yorkave/960433863,16.95,16.95,Salvos Pizzabar,10075,25,40,NY
1477 York Ave,"Restaurant,Pizza Place Upper East Side,Pizza Place",New York,us/ny/newyork/1477yorkave/960433863,12.5,12.5,Salvos Pizzabar,10075,25,40,NY
1477 York Ave,"Restaurant,Pizza Place Upper East Side,Pizza Place",New York,us/ny/newyork/1477yorkave/960433863,17.75,17.75,Salvos Pizzabar,10075,25,40,NY
1477 York Ave,"Restaurant,Pizza Place Upper East Side,Pizza Place",New York,us/ny/newyork/1477yorkave/960433863,11.75,11.75,Salvos Pizzabar,10075,25,40,NY
1477 York Ave,"Restaurant,Pizza Place Upper East Side,Pizza Place",New York,us/ny/newyork/1477yorkave/960433863,12.5,12.5,Salvos Pizzabar,10075,25,40,NY
1477 York Ave,"Restaurant,Pizza Place Upper East Side,Pizza Place",New York,us/ny/newyork/1477yorkave/960433863,13.75,13.75,Salvos Pizzabar,10075,25,40,NY
1477 York Ave,"Restaurant,Pizza Place Upper East Side,Pizza Place",New York,us/ny/newyork/1477yorkave/960433863,18.75,18.75,Salvos Pizzabar,10075,25,40,NY
1477 York Ave,"Restaurant,Pizza Place Upper East Side,Pizza Place",New York,us/ny/newyork/1477yorkave/960433863,12,12,Salvos Pizzabar,10075,25,40,NY
1477 York Ave,"Restaurant,Pizza Place Upper East Side,Pizza Place",New York,us/ny/newyork/1477yorkave/960433863,18.95,18.95,Salvos Pizzabar,10075,25,40,NY
1477 York Ave,"Restaurant,Pizza Place Upper East Side,Pizza Place",New York,us/ny/newyork/1477yorkave/960433863,19.75,19.75,Salvos Pizzabar,10075,25,40,NY
